source_table	ods_table	json_count	status
t_change_info	ods_ptr_mysql_t_change_info	5	DONE
t_warehousing_info	ods_ptr_mysql_t_warehousing_info	5	DONE
t_warehousing_item	ods_ptr_mysql_t_warehousing_item	5	DONE
t_ex_warehouse_info	ods_ptr_mysql_t_ex_warehouse_info	5	DONE
t_ex_warehouse_item	ods_ptr_mysql_t_ex_warehouse_item	5	DONE
a_month_accounting	ods_ptr_mysql_a_month_accounting	5	DONE
a_green_accounting	ods_ptr_mysql_a_green_accounting	5	DONE
a_flower_biz_accounting	ods_ptr_mysql_a_flower_biz_accounting	5	DONE
a_sale_account	ods_ptr_mysql_a_sale_account	5	DONE
a_sale_account_rent_item	ods_ptr_mysql_a_sale_account_rent_item	5	DONE
a_invoice_info	ods_ptr_mysql_a_invoice_info	5	DONE
a_invoice_item	ods_ptr_mysql_a_invoice_item	5	DONE
a_invoice_record	ods_ptr_mysql_a_invoice_record	5	DONE
a_collection_record	ods_ptr_mysql_a_collection_record	5	DONE
a_collection_item	ods_ptr_mysql_a_collection_item	5	DONE
